Gravel,Sand,Silt,Clay,Mz,Sk,Ku,Sigma,Folk_class
0.0,47.69,52.31,0.0,4.16,0.33,0.86,0.61,sZ
0.0,20.41,59.90000000000001,19.69,6.0,1.53,2.57,2.09,sZ
0.0,42.98,46.58000000000001,10.44,4.8,1.94,2.85,2.16,sZ
0.0,32.11,49.22,18.67,5.65,2.69,1.87,2.2,sZ
0.0,10.85,66.0,23.15,6.27,0.05,1.74,1.78,sZ
0.0,20.48,78.33999999999997,1.18,4.87,1.02,1.47,0.98,sZ
0.0,14.46,78.35,7.19,5.34,1.59,2.11,1.47,sZ
0.0,33.65,52.34,14.01,5.16,1.66,2.95,2.33,sZ
0.0,23.42,55.91,20.67,6.04,0.39,2.64,2.2,sZ
0.0,12.1,61.790000000000006,26.11,6.62,0.64,2.42,1.98,sZ
0.0,68.97,25.79,5.24,3.81,2.17,2.84,1.87,zS
0.0,85.93,11.979999999999993,2.09,2.82,1.97,2.69,1.55,zS
0.0,82.58,13.03,4.39,3.07,2.41,3.07,1.93,zS
0.0,64.75,27.8,7.45,3.69,2.34,3.18,2.32,zS
0.0,70.23,21.919999999999995,7.85,3.78,2.43,3.11,2.22,zS
0.0,67.51,30.78,1.71,3.92,3.35,18.24,1.06,zS
0.0,63.95,25.34,10.71,4.19,3.12,2.45,2.36,zS
0.0,71.72,23.06,5.22,3.6,2.24,2.96,1.98,zS
0.0,63.69,25.63000000000001,10.68,3.92,2.49,3.33,2.62,zS
0.0,54.84,42.79,2.37,4.75,1.42,1.93,1.32,zS
0.0,6.32,74.6,19.08,6.32,0.53,2.73,1.8,Z
0.0,6.9,75.36,17.75,6.28,0.62,2.87,1.8,Z
0.0,9.36,73.67,16.97,6.4,-0.37,2.64,1.89,Z
0.0,2.05,69.14,28.8,7.15,0.95,2.07,1.6,Z
0.0,6.23,74.5,19.27,6.31,0.55,2.64,1.81,Z
0.0,7.69,75.41,16.9,6.18,1.55,2.29,1.75,Z
0.0,5.06,76.00999999999998,18.93,6.61,1.06,2.09,1.65,Z
0.0,2.79,77.78,19.44,6.47,0.63,2.85,1.7,Z
0.0,9.18,68.27,22.55,6.44,0.33,2.35,1.93,Z
0.0,3.41,80.9,15.69,6.48,1.28,2.03,1.56,Z
0.0,96.62,3.3799999999999955,0.0,2.82,0.71,1.02,0.6,S
0.0,99.17,0.0,0.0,2.58,0.34,0.73,0.52,S
0.0,94.58,5.1400000000000015,0.28,0.91,2.28,1.51,1.06,S
0.0,98.81,0.0,0.26,1.02,1.35,2.09,1.01,S
0.0,90.79,5.929999999999994,3.28,2.32,2.46,3.18,1.77,S
0.0,90.72,6.8000000000000025,2.48,3.38,1.89,2.52,1.23,S
0.0,96.56,2.0799999999999974,1.36,2.54,1.75,2.48,1.13,S
0.0,92.36,4.73,2.91,2.57,2.97,2.29,1.5,S
0.0,90.74,8.930000000000009,0.33,2.96,1.49,1.98,1.13,S
0.0,94.21,4.340000000000007,1.45,3.03,1.69,2.34,1.04,S
0.0,35.99,41.00999999999999,23.0,5.22,-1.58,3.59,3.14,sM
0.0,49.47,32.68,17.85,4.85,3.24,2.06,2.78,sM
0.0,24.2,49.63,26.17,6.16,2.88,-1.0,2.44,sM
0.0,42.64,36.33,21.03,4.83,1.31,3.64,3.22,sM
0.0,16.11,55.55,28.34,6.53,-1.35,2.75,2.23,sM
0.0,42.47,35.6,21.93,5.51,2.96,1.78,2.58,sM
0.0,29.59,44.35,26.06,5.95,2.97,0.62,2.56,sM
0.0,48.42,33.66,17.92,5.07,3.09,1.9,2.67,sM
0.0,13.8,56.48,29.72,6.65,2.57,-0.99,2.13,sM
0.0,33.76,42.14000000000001,24.1,5.45,-1.64,3.49,3.02,sM
0.0,62.09,24.34,13.57,4.39,3.19,2.5,2.53,mS
0.0,75.38,16.030000000000005,8.59,3.85,3.12,2.53,2.15,mS
0.0,63.19,24.090000000000003,12.72,4.41,3.11,2.44,2.44,mS
0.0,75.05,15.930000000000005,9.02,3.85,3.14,2.55,2.19,mS
0.0,85.68,9.039999999999992,5.28,3.31,3.03,2.42,1.8,mS
0.0,70.12,19.639999999999993,10.24,3.94,3.24,2.57,2.4,mS
0.0,82.38,11.280000000000005,6.34,3.52,3.05,2.46,1.91,mS
0.0,64.21,22.95000000000001,12.84,4.36,3.14,2.49,2.44,mS
0.0,73.11,17.09,9.8,3.93,3.17,2.57,2.27,mS
0.0,60.23,26.070000000000004,13.7,4.28,3.32,2.45,2.7,mS
0.0,6.54,61.89999999999999,31.56,6.99,-0.33,2.32,1.88,M
0.0,8.18,61.05999999999999,30.76,6.94,-1.07,2.4,1.92,M
0.0,7.83,59.81,32.36,7.05,2.39,-1.06,1.89,M
0.0,5.21,61.48,33.31,7.16,2.31,-0.91,1.83,M
0.0,5.37,62.06,32.57,7.17,2.23,-0.87,1.75,M
0.0,1.56,64.66,33.77,7.39,0.05,2.95,1.56,M
0.0,1.44,65.44,33.12,7.24,2.09,0.9,1.7,M
0.0,6.71,58.93000000000001,34.36,7.13,2.41,-1.11,1.93,M
0.0,9.02,60.57000000000001,30.41,6.88,-0.8,2.41,1.95,M
0.0,9.0,60.02,30.98,6.95,-1.15,2.46,1.95,M
0.47,53.99,40.78,4.76,3.39,1.53,3.72,2.96,(g)mS
0.39,61.42,32.9,5.29,2.54,2.67,3.75,3.27,(g)mS
3.2,55.0,37.25,4.28,3.77,0.04,2.87,2.36,(g)mS
4.3,52.4,43.39,0.0,3.75,-0.5,2.75,2.09,(g)mS
3.33,67.32,21.69000000000001,7.66,2.64,2.92,3.83,2.95,(g)mS
1.3,62.4,28.95,7.46,4.07,0.28,2.35,2.51,(g)mS
3.04,79.03,16.39999999999999,1.53,1.49,2.71,3.41,2.48,(g)mS
4.4,83.1,9.22,3.53,3.07,0.89,5.5,1.94,(g)mS
0.6,75.53,19.84,3.49,3.14,0.96,3.03,2.27,(g)mS
2.5,76.0,0.0,21.51,3.22,0.96,2.48,3.99,(g)mS
7.8,77.6,12.26,2.79,2.78,0.67,4.82,2.11,gmS
9.84,74.82,11.800000000000004,3.54,1.75,2.68,3.6,2.45,gmS
9.47,81.0,6.750000000000003,2.78,1.16,2.78,3.64,2.18,gmS
5.1,74.14,11.67,9.09,2.42,1.36,3.9,2.71,gmS
8.3,65.4,26.64,0.0,2.75,-0.47,2.67,2.02,gmS
5.69,56.44,27.620000000000005,10.25,3.41,2.49,3.75,3.04,gmS
16.2,66.08,15.32,2.4,0.98,3.21,3.93,2.85,gmS
12.05,78.64,6.960000000000003,2.35,1.17,2.63,3.53,2.22,gmS
12.41,69.87,13.0,4.72,1.86,2.9,3.82,2.64,gmS
10.35,58.73,22.20000000000001,8.72,3.02,2.55,3.82,2.98,gmS
14.54,79.61,4.370000000000008,1.48,1.74,1.72,3.03,1.91,gS
20.3,79.5,0.0,0.0,1.25,-0.69,2.17,1.6,gS
20.4,79.5,0.0,0.0,0.86,-0.02,1.6,1.67,gS
23.4,76.0,0.0,0.0,0.78,-0.29,1.9,1.54,gS
11.12,85.99,2.0500000000000007,0.84,0.25,2.18,3.03,1.53,gS
12.0,86.01,1.3499999999999948,0.64,0.62,1.78,2.71,1.43,gS
48.1,51.9,0.0,0.0,-0.01,0.52,1.76,1.64,sG
50.6,49.4,0.0,0.0,0.21,0.37,1.35,1.88,sG
56.8,43.2,0.0,0.0,0.07,0.51,1.47,1.89,sG
54.8,45.2,0.0,0.0,-0.07,0.63,1.72,1.74,sG
75.2,24.8,0.0,0.0,-0.57,1.43,3.23,1.72,sG
4.6,28.4,25.19,42.5,5.51,-0.73,2.4,3.08,(g)M
0.84,44.71,47.31999999999999,7.13,3.56,-1.01,3.68,3.24,(g)M
3.45,18.07,58.57999999999999,19.9,5.78,-1.93,3.46,2.48,(g)M
0.34,29.24,56.97,13.45,4.96,-2.74,3.91,3.27,(g)M
4.09,46.46,33.84,15.61,4.66,1.54,3.51,2.83,(g)M
6.53,9.79,53.97000000000001,29.71,6.26,-2.95,4.08,2.84,gM
9.49,42.11,38.90000000000001,9.5,4.02,-0.88,3.67,2.8,gM
9.42,42.28,35.94,12.36,3.8,1.67,3.88,3.22,gM
0.4,99.6,0.0,0.0,1.34,-0.05,2.32,1.16,(g)S
44.97,34.49,15.31,5.23,1.27,3.23,4.26,3.26,msG
